hashtag_H	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_hashtags_in_C	count_H_entire_dataset	count_hashtags_entire_dataset retweets_hashtag_freqs.tsv
fordfailedottawa	305325817	25.381818	.001396	.000055	1	716	1	18162
forgery	1573800344	25.381818	.001396	.000055	1	716	1	18162
franceelections2022	60779696	12.690909	.001396	.000110	1	716	2	18162
fredvanvleet	1374439409047674888	10.156363	.002793	.000275	2	716	5	18162
freedumbery	8619542	25.381818	.001396	.000055	1	716	1	18162
freen95	2412307836	25.381818	.001396	.000055	1	716	1	18162
freenazanin	91556413	2.307438	.001396	.000605	1	716	11	18162
freenazaninnow	91556413	12.690909	.001396	.000110	1	716	2	18162
freerats	2412307836	12.695454	.002793	.000220	2	716	4	18162
freeshipment	1130046320184446976	25.381818	.001396	.000055	1	716	1	18162
freethemall	1307213540634230784	.905905	.001396	.001541	1	716	28	18162
freetherefugees	1307213540634230784	2.307438	.001396	.000605	1	716	11	18162
freshvoicesrise	1194801500498931712	2.307438	.001396	.000605	1	716	11	18162
friendlyjordies	2880610310	8.460606	.001396	.000165	1	716	3	18162
friends	1448298903216984066	3.172727	.001396	.000440	1	716	8	18162
fuhrerdutts	1573800344	25.381818	.001396	.000055	1	716	1	18162
fullmoon	517105402	8.463636	.002793	.000330	2	716	6	18162
gaffe	1323495003604226048	25.381818	.001396	.000055	1	716	1	18162
gaza	1240682348120866816	1.408678	.001396	.000991	1	716	18	18162
ge2024	1474726309	25.381818	.001396	.000055	1	716	1	18162
genocide	1448298903216984066	.975541	.001396	.001431	1	716	26	18162
genocideofukrainians	84146348	1.692121	.001396	.000825	1	716	15	18162
georgia	1497303587260715014	1.334608	.001396	.001046	1	716	19	18162
gerryharvey	90107770	12.690909	.001396	.000110	1	716	2	18162
getboosted	708800580995522560	1.102685	.001396	.001266	1	716	23	18162
getmaskednow	19019465	25.381818	.001396	.000055	1	716	1	18162
getvaccinatednow	120797984	.845548	.001396	.001651	1	716	30	18162
ghoststory	2589820362	25.381818	.001396	.000055	1	716	1	18162
ginger	94350709	12.690909	.001396	.000110	1	716	2	18162
glorytoukraine	829855036372979712	1.952447	.001396	.000715	1	716	13	18162
god	1476701921893257236	3.625974	.001396	.000385	1	716	7	18162
godslaw	4830874006	25.390909	.002793	.000110	2	716	2	18162
goldsteinvotes	2342573012	2.538181	.001396	.000550	1	716	10	18162
goodhealth	94350709	25.381818	.001396	.000055	1	716	1	18162
gop	1270133776748855304	.768722	.001396	.001816	1	716	33	18162
gopseditioustraitors	1344424632103956482	12.690909	.001396	.000110	1	716	2	18162
goptherussianparty	1136929287011880961	5.076363	.001396	.000275	1	716	5	18162
goptherussianpartyoftraitors	934181338793562112	3.172727	.001396	.000440	1	716	8	18162
goptraitorstodemocracy	1270133776748855304	1.812987	.001396	.000770	1	716	14	18162
goptreason	26805539	25.381818	.001396	.000055	1	716	1	18162
gottaloveher	29269689	25.381818	.001396	.000055	1	716	1	18162
gqp	713839291210792960	6.345454	.001396	.000220	1	716	4	18162
grammmmmmude	22448617	6.345454	.001396	.000220	1	716	4	18162
gregpearson	94350709	25.381818	.001396	.000055	1	716	1	18162
grifter	1219836531449290753	8.460606	.001396	.000165	1	716	3	18162
gutlessscomo	1344762633786822658	3.172727	.001396	.000440	1	716	8	18162
hailtothechief	400495760	25.381818	.001396	.000055	1	716	1	18162
hamas	1240682348120866816	12.690909	.001396	.000110	1	716	2	18162
happynewyear	1247295628780208132	1.408678	.001396	.000991	1	716	18	18162
happynewyear2022	29447428	7.254545	.002793	.000385	2	716	7	18162
hauntedhouse	2589820362	25.381818	.001396	.000055	1	716	1	18162
hd108	829834513320726530	25.381818	.001396	.000055	1	716	1	18162
healthcare	338219529	1.750000	.002793	.001596	2	716	29	18162
hepammmmmmis	256677596	4.230303	.001396	.000330	1	716	6	18162
hitler	1240682348120866816	5.076363	.001396	.000275	1	716	5	18162
honorourrealheroes	262472211	25.381818	.001396	.000055	1	716	1	18162
horriblehorribleperson	1018660693	25.381818	.001396	.000055	1	716	1	18162
horrorcommunity	2589820362	25.381818	.001396	.000055	1	716	1	18162
humanshields	1240682348120866816	25.381818	.001396	.000055	1	716	1	18162
ialegislature	940778288871542786	25.381818	.001396	.000055	1	716	1	18162
ichrespektierekarl	877968869138329601	25.381818	.001396	.000055	1	716	1	18162
idahogop	902689690704367616	25.381818	.001396	.000055	1	716	1	18162
idontthinkiknow	60779696	12.690909	.001396	.000110	1	716	2	18162
idsillegal	1476701921893257236	.396253	.001396	.003523	1	716	64	18162
ihaveapreexistingcondition	789203988533026818	9.520454	.004189	.000440	3	716	8	18162
immunosuppressed	789203988533026818	8.460606	.001396	.000165	1	716	3	18162
impeachmentone	2876041031	25.381818	.001396	.000055	1	716	1	18162
indue	17267769	4.230303	.001396	.000330	1	716	6	18162
influenza	480875170	12.690909	.001396	.000110	1	716	2	18162
insiders	84174241	.420981	.005586	.013269	4	716	241	18162
insurrectionhasconsequences	1921951394	12.690909	.001396	.000110	1	716	2	18162
insurrectionist	1921951394	12.690909	.001396	.000110	1	716	2	18162
intlcrimcourt	1448298903216984066	25.381818	.001396	.000055	1	716	1	18162
introductionloveat9	813314931147816960	2.536784	.002793	.001101	2	716	20	18162
