hashtag_H	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_hashtags_in_C	count_H_entire_dataset	count_hashtags_entire_dataset retweets_hashtag_freqs.tsv
wapol	1125425563076710401	12.690909	.001396	.000110	1	716	2	18162
war	364478729	.928001	.004189	.004514	3	716	82	18162
warcrimes	1448298903216984066	.487600	.001396	.002863	1	716	52	18162
warfare	3270007519	25.381818	.001396	.000055	1	716	1	18162
warning	4830874006	3.625974	.001396	.000385	1	716	7	18162
water	1573800344	4.230303	.001396	.000330	1	716	6	18162
wato	1474726309	4.230303	.001396	.000330	1	716	6	18162
wealth	289186412	12.690909	.001396	.000110	1	716	2	18162
welshnationalchart	146243221	25.381818	.001396	.000055	1	716	1	18162
westandwithukraine	975084801253396480	2.029796	.002793	.001376	2	716	25	18162
wethenorth	1374439409047674888	5.076363	.001396	.000275	1	716	5	18162
wethepeople	581375677	5.076363	.001396	.000275	1	716	5	18162
wetvxohmfluke	720420236076277760	3.804722	.004189	.001101	3	716	20	18162
whereisdougford	2173378878	12.690909	.001396	.000110	1	716	2	18162
winning	2264401871	5.076363	.001396	.000275	1	716	5	18162
wirwollenmaskenpflicht	1429016867532849153	19.043181	.008379	.000440	6	716	8	18162
witch	2589820362	25.381818	.001396	.000055	1	716	1	18162
wokingham	1446484946294644739	25.381818	.001396	.000055	1	716	1	18162
worldsworsttreasuer	446173045	25.381818	.001396	.000055	1	716	1	18162
worsegovtever	1573800344	25.381818	.001396	.000055	1	716	1	18162
writerslift	1497454353090809860	9.520454	.004189	.000440	3	716	8	18162
writingcommunity	2589820362	1.812987	.001396	.000770	1	716	14	18162
yeg	1265835600923357185	.154612	.001396	.009029	1	716	164	18162
yourcrosstobear	4830874006	25.381818	.001396	.000055	1	716	1	18162
yyc	1265835600923357185	.111697	.001396	.012498	1	716	227	18162
zachlavine	875495754537861121	12.690909	.001396	.000110	1	716	2	18162
zelensky	2386246513	1.001195	.004189	.004184	3	716	76	18162
zerocovid	252793413	1.057153	.002793	.002642	2	716	48	18162
Яepublicantraitors	1379972530463776770	25.381818	.001396	.000055	1	716	1	18162
ไขมันของเจ้าแก้มก้อน	267498657	7.254545	.002793	.000385	2	716	7	18162
เจ้าแก้มก้อน	267498657	.428884	.009776	.022794	7	716	414	18162
โอห์มฟลุ้คฟีเวอร์2021	1305795361336770560	1.208044	.002793	.002312	2	716	42	18162
