hashtag_H	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_hashtags_in_C	count_H_entire_dataset	count_hashtags_entire_dataset retweets_hashtag_freqs.tsv
china	45379403	.435917	.003408	.007818	11	3227	142	18162
chinalockdown	45379403	2.809090	.000309	.000110	1	3227	2	18162
chipotle	614600545	5.618181	.000309	.000055	1	3227	1	18162
choice	804582780298412032	5.618181	.000309	.000055	1	3227	1	18162
chopped	614600545	5.618181	.000309	.000055	1	3227	1	18162
chornobyl	578601744	2.250909	.000619	.000275	2	3227	5	18162
chornobyl_npp	578601744	5.618181	.000309	.000055	1	3227	1	18162
chrishedges	45379403	5.618181	.000309	.000055	1	3227	1	18162
chrisrock	940778288871542786	1.406818	.000619	.000440	2	3227	8	18162
chrisslack	29447428	5.618181	.000309	.000055	1	3227	1	18162
christ	1387010761994682371	2.809090	.000309	.000110	1	3227	2	18162
christianbrothets	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
christisrisen	1471037967926018051	5.618181	.000309	.000055	1	3227	1	18162
christophersteele	1229752606714728454	5.618181	.000309	.000055	1	3227	1	18162
chronicillness	45379403	.703409	.000619	.000880	2	3227	16	18162
cia	45379403	2.815151	.000929	.000330	3	3227	6	18162
cillablack	29447428	5.618181	.000309	.000055	1	3227	1	18162
cinvskc	614600545	5.631818	.001239	.000220	4	3227	4	18162
cinvsten	614600545	5.618181	.000309	.000055	1	3227	1	18162
cityoflondinium	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
cityoflondon	1387010761994682371	5.627272	.000619	.000110	2	3227	2	18162
civilwar	940778288871542786	5.618181	.000309	.000055	1	3227	1	18162
clairefoy	29447428	5.618181	.000309	.000055	1	3227	1	18162
clarencethomas	940778288871542786	1.404545	.000309	.000220	1	3227	4	18162
clarencethomasmustresign	940778288871542786	1.404545	.000309	.000220	1	3227	4	18162
claudemonet	302984766	2.809090	.000309	.000110	1	3227	2	18162
clickbait	614600545	5.618181	.000309	.000055	1	3227	1	18162
climate	45379403	.649278	.002788	.004294	9	3227	78	18162
climateaction	940778288871542786	.409180	.001239	.003028	4	3227	55	18162
climateactionnow	2886667320	.170154	.000309	.001816	1	3227	33	18162
climatebrawl	1308267623327518725	.802597	.000309	.000385	1	3227	7	18162
climatechange	2886667320	.686309	.001549	.002257	5	3227	41	18162
climatecrisis	1308267623327518725	.448159	.002788	.006221	9	3227	113	18162
climateemergency	45379403	.366903	.000929	.002532	3	3227	46	18162
