hashtag_H	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_hashtags_in_C	count_H_entire_dataset	count_hashtags_entire_dataset retweets_hashtag_freqs.tsv
drewcomments	118166719	5.618181	.000309	.000055	1	3227	1	18162
drgiggles	302984766	5.618181	.000309	.000055	1	3227	1	18162
dropped	86010091	5.618181	.000309	.000055	1	3227	1	18162
dropthecharges	45379403	1.872727	.000309	.000165	1	3227	3	18162
drugs	1308267623327518725	5.618181	.000309	.000055	1	3227	1	18162
drummer	45379403	5.618181	.000309	.000055	1	3227	1	18162
drums	45379403	2.809090	.000309	.000110	1	3227	2	18162
druzenko	45379403	5.618181	.000309	.000055	1	3227	1	18162
dryjanuary	29447428	5.618181	.000309	.000055	1	3227	1	18162
dubai	29447428	3.751515	.000619	.000165	2	3227	3	18162
dukenation	1471037967926018051	5.618181	.000309	.000055	1	3227	1	18162
dukeofedinburgh	29447428	5.618181	.000309	.000055	1	3227	1	18162
durhamproud	302984766	5.618181	.000309	.000055	1	3227	1	18162
dutton	2886667320	.936363	.000309	.000330	1	3227	6	18162
duuuval	614600545	5.627272	.000619	.000110	2	3227	2	18162
dwhap	1471037967926018051	5.630303	.000929	.000165	3	3227	3	18162
dyddgwyldewi	29447428	5.627272	.000619	.000110	2	3227	2	18162
dyddgwyldewihapus	29447428	5.618181	.000309	.000055	1	3227	1	18162
dyddgŵyldewihapus	29447428	5.618181	.000309	.000055	1	3227	1	18162
dying4access	118166719	5.618181	.000309	.000055	1	3227	1	18162
dyk	302984766	1.875757	.000619	.000330	2	3227	6	18162
eagles	614600545	5.627272	.000619	.000110	2	3227	2	18162
earthchamps	302984766	2.809090	.000309	.000110	1	3227	2	18162
earthday	302984766	.804065	.001859	.002312	6	3227	42	18162
earthday2022	1308267623327518725	.750303	.000619	.000825	2	3227	15	18162
eastenders	29447428	4.222727	.000929	.000220	3	3227	4	18162
easter	29447428	1.125726	.001549	.001376	5	3227	25	18162
easteregg	29447428	5.618181	.000309	.000055	1	3227	1	18162
easyjet	29447428	3.751515	.000619	.000165	2	3227	3	18162
ecocode	29447428	5.618181	.000309	.000055	1	3227	1	18162
economy	1387010761994682371	.510743	.000309	.000605	1	3227	11	18162
edchat	302984766	.802597	.000309	.000385	1	3227	7	18162
eddieredmayne	1471037967926018051	5.618181	.000309	.000055	1	3227	1	18162
edinburgh	1387010761994682371	.374545	.000309	.000825	1	3227	15	18162
eds	45379403	.802597	.000309	.000385	1	3227	7	18162
education	45379403	.661324	.000619	.000936	2	3227	17	18162
educationday	578601744	5.618181	.000309	.000055	1	3227	1	18162
eebaftas	29447428	5.630303	.000929	.000165	3	3227	3	18162
eebbaftas	614600545	5.618181	.000309	.000055	1	3227	1	18162
eeeeeewaffle	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
ego	1387010761994682371	2.809090	.000309	.000110	1	3227	2	18162
egypt	1308267623327518725	1.876767	.000929	.000495	3	3227	9	18162
eiger	29447428	5.618181	.000309	.000055	1	3227	1	18162
elbit	1387010761994682371	5.630303	.000929	.000165	3	3227	3	18162
elbitoutofoldham	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
elderly	1387010761994682371	2.809090	.000309	.000110	1	3227	2	18162
electricavenue	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
electricvehicles	1921951394	1.123636	.000309	.000275	1	3227	5	18162
elon	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
elonmusk	45379403	.591778	.000619	.001046	2	3227	19	18162
elsalvador	578601744	5.618181	.000309	.000055	1	3227	1	18162
elvismovie	1921951394	2.813636	.000619	.000220	2	3227	4	18162
elxn22	302984766	3.751515	.000619	.000165	2	3227	3	18162
embarrrrrrrring	302984766	2.813636	.000619	.000220	2	3227	4	18162
embracemlk	1308267623327518725	5.627272	.000619	.000110	2	3227	2	18162
emergenciesact	86010091	1.480879	.001549	.001046	5	3227	19	18162
emergencyact	86010091	1.406818	.000619	.000440	2	3227	8	18162
emergencymeasuresact	302984766	2.809090	.000309	.000110	1	3227	2	18162
emigrants	302984766	5.618181	.000309	.000055	1	3227	1	18162
emilyblunt	29447428	5.618181	.000309	.000055	1	3227	1	18162
emirati	45379403	5.618181	.000309	.000055	1	3227	1	18162
emmawatson	804582780298412032	5.618181	.000309	.000055	1	3227	1	18162
empathy	29447428	.702272	.000309	.000440	1	3227	8	18162
empire	1387010761994682371	2.809090	.000309	.000110	1	3227	2	18162
empty	45379403	5.618181	.000309	.000055	1	3227	1	18162
endemic	45379403	.936363	.000309	.000330	1	3227	6	18162
endisraeliapartheid	578601744	.374545	.000309	.000825	1	3227	15	18162
endthemandates	86010091	.802597	.000309	.000385	1	3227	7	18162
endthepandemic	45379403	1.123636	.000309	.000275	1	3227	5	18162
enemiesofthestate	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
energy	804582780298412032	.496260	.000929	.001872	3	3227	34	18162
energybills	29447428	1.123636	.000309	.000275	1	3227	5	18162
energybillsrebate	29447428	2.809090	.000309	.000110	1	3227	2	18162
energycrisis	29447428	.330128	.000309	.000936	1	3227	17	18162
energypricecap	29447428	2.809090	.000309	.000110	1	3227	2	18162
energyprices	29447428	1.607792	.000619	.000385	2	3227	7	18162
enerhodar	578601744	1.875757	.000619	.000330	2	3227	6	18162
engineering	118166719	2.809090	.000309	.000110	1	3227	2	18162
engineers	118166719	1.872727	.000309	.000165	1	3227	3	18162
england	29447428	.044899	.000309	.006882	1	3227	125	18162
englishriviera	29447428	4.225000	.001859	.000440	6	3227	8	18162
enjoylyrics	1471037967926018051	5.633057	.003408	.000605	11	3227	11	18162
enslavement	1387010761994682371	5.627272	.000619	.000110	2	3227	2	18162
environment	302984766	.561818	.000309	.000550	1	3227	10	18162
epicfailgovernment	2886667320	5.618181	.000309	.000055	1	3227	1	18162
epitwitter	118166719	1.872727	.000309	.000165	1	3227	3	18162
epsb	118166719	3.218181	.001239	.000385	4	3227	7	18162
equality	45379403	.702272	.000309	.000440	1	3227	8	18162
equalpay	1308267623327518725	1.872727	.000309	.000165	1	3227	3	18162
equalrightsamendment	1308267623327518725	2.809090	.000309	.000110	1	3227	2	18162
era	1308267623327518725	5.618181	.000309	.000055	1	3227	1	18162
erbil	940778288871542786	1.406818	.000619	.000440	2	3227	8	18162
erdington	29447428	5.618181	.000309	.000055	1	3227	1	18162
erdogan	578601744	2.809090	.000309	.000110	1	3227	2	18162
erinotoole	302984766	2.809090	.000309	.000110	1	3227	2	18162
esgdivestrussia	578601744	2.809090	.000309	.000110	1	3227	2	18162
essencefest	1471037967926018051	5.618181	.000309	.000055	1	3227	1	18162
eth	1387010761994682371	4.766433	.003408	.000715	11	3227	13	18162
ethics	86010091	1.404545	.000309	.000220	1	3227	4	18162
eu	578601744	.393933	.002169	.005506	7	3227	100	18162
eugenekibets	940778288871542786	5.618181	.000309	.000055	1	3227	1	18162
eugenics	45379403	2.250909	.000619	.000275	2	3227	5	18162
eunice	29447428	1.607792	.000619	.000385	2	3227	7	18162
euphoria	614600545	5.618181	.000309	.000055	1	3227	1	18162
europe	45379403	.340859	.000619	.001816	2	3227	33	18162
europeans	578601744	5.618181	.000309	.000055	1	3227	1	18162
europeanunion	1308267623327518725	1.875757	.000619	.000330	2	3227	6	18162
eurotunnel	29447428	5.618181	.000309	.000055	1	3227	1	18162
eurovision	29447428	4.222727	.000929	.000220	3	3227	4	18162
eurovisionsongcontest	29447428	5.618181	.000309	.000055	1	3227	1	18162
evergrande	1387010761994682371	2.809090	.000309	.000110	1	3227	2	18162
everypalestinian	578601744	5.618181	.000309	.000055	1	3227	1	18162
everything	29447428	5.618181	.000309	.000055	1	3227	1	18162
evusheld	578601744	2.809090	.000309	.000110	1	3227	2	18162
excessdeaths	45379403	2.809090	.000309	.000110	1	3227	2	18162
exclusive	86010091	3.378181	.000929	.000275	3	3227	5	18162
exercise	302984766	3.751515	.000619	.000165	2	3227	3	18162
expandnatonow	940778288871542786	5.618181	.000309	.000055	1	3227	1	18162
expropriated	45379403	5.618181	.000309	.000055	1	3227	1	18162
extinctionrebellion	1387010761994682371	.624242	.000309	.000495	1	3227	9	18162
extremeweather	29447428	1.123636	.000309	.000275	1	3227	5	18162
extremists	1308267623327518725	5.618181	.000309	.000055	1	3227	1	18162
facebook	45379403	3.218181	.001239	.000385	4	3227	7	18162
facebookdown	45379403	5.618181	.000309	.000055	1	3227	1	18162
facemasks	29447428	.936363	.000309	.000330	1	3227	6	18162
factsmatter	1308267623327518725	1.123636	.000309	.000275	1	3227	5	18162
facup	45379403	5.618181	.000309	.000055	1	3227	1	18162
fafo	118166719	.936363	.000309	.000330	1	3227	6	18162
faith	1471037967926018051	5.618181	.000309	.000055	1	3227	1	18162
fake	86010091	3.751515	.000619	.000165	2	3227	3	18162
fakenews	1387010761994682371	1.876767	.000929	.000495	3	3227	9	18162
fakewars	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
falcons	614600545	5.618181	.000309	.000055	1	3227	1	18162
falkland	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
fallonflashback	1921951394	5.618181	.000309	.000055	1	3227	1	18162
fallontonight	614600545	5.630303	.000929	.000165	3	3227	3	18162
families	302984766	3.751515	.000619	.000165	2	3227	3	18162
family	1471037967926018051	1.609090	.001239	.000770	4	3227	14	18162
fao	29447428	2.809090	.000309	.000110	1	3227	2	18162
far	45379403	5.618181	.000309	.000055	1	3227	1	18162
farmaid	1308267623327518725	5.618181	.000309	.000055	1	3227	1	18162
farmland	302984766	2.809090	.000309	.000110	1	3227	2	18162
faroe	29447428	5.618181	.000309	.000055	1	3227	1	18162
fascism	45379403	1.689090	.000929	.000550	3	3227	10	18162
fascist	45379403	1.404545	.000309	.000220	1	3227	4	18162
fascists	940778288871542786	2.809090	.000309	.000110	1	3227	2	18162
fastfood	614600545	5.618181	.000309	.000055	1	3227	1	18162
fatalfruit	940778288871542786	5.618181	.000309	.000055	1	3227	1	18162
fattuesday	614600545	5.618181	.000309	.000055	1	3227	1	18162
fbi	940778288871542786	.280653	.000309	.001101	1	3227	20	18162
fbpe	45379403	.387844	.000619	.001596	2	3227	29	18162
fbr	940778288871542786	1.125454	.000619	.000550	2	3227	10	18162
fbrparty	940778288871542786	1.872727	.000309	.000165	1	3227	3	18162
fckputin	578601744	.244075	.000309	.001266	1	3227	23	18162
federalquarantine	2886667320	5.618181	.000309	.000055	1	3227	1	18162
fedupwithdictatortrudeau	804582780298412032	5.618181	.000309	.000055	1	3227	1	18162
feelgoodfood	29447428	5.618181	.000309	.000055	1	3227	1	18162
fellig	1921951394	5.618181	.000309	.000055	1	3227	1	18162
ferns	302984766	5.618181	.000309	.000055	1	3227	1	18162
ff	302984766	1.872727	.000309	.000165	1	3227	3	18162
ffffffhead	2886667320	.992521	.000929	.000936	3	3227	17	18162
ffffffheads	2886667320	2.809090	.000309	.000110	1	3227	2	18162
fffffftater	940778288871542786	5.618181	.000309	.000055	1	3227	1	18162
fiction	1387010761994682371	5.631818	.001239	.000220	4	3227	4	18162
fife	1387010761994682371	1.872727	.000309	.000165	1	3227	3	18162
fightforukraine	578601744	1.872727	.000309	.000165	1	3227	3	18162
fightforvotingrights	940778288871542786	1.250505	.000619	.000495	2	3227	9	18162
fightinghatefromhome	1308267623327518725	5.618181	.000309	.000055	1	3227	1	18162
figureskating	45379403	1.872727	.000309	.000165	1	3227	3	18162
filmtwitter	45379403	1.877575	.001549	.000825	5	3227	15	18162
filtration	118166719	1.404545	.000309	.000220	1	3227	4	18162
finally	86010091	2.809090	.000309	.000110	1	3227	2	18162
findingme	614600545	5.618181	.000309	.000055	1	3227	1	18162
fined	29447428	5.618181	.000309	.000055	1	3227	1	18162
finland	578601744	.833781	.001239	.001486	4	3227	27	18162
firebonnie	804582780298412032	2.809090	.000309	.000110	1	3227	2	18162
firelecce	302984766	2.250909	.000619	.000275	2	3227	5	18162
firestorm	45379403	5.618181	.000309	.000055	1	3227	1	18162
firetheucp	118166719	.591778	.000619	.001046	2	3227	19	18162
first48	614600545	5.627272	.000619	.000110	2	3227	2	18162
firstbus	45379403	2.809090	.000309	.000110	1	3227	2	18162
fitness	302984766	1.872727	.000309	.000165	1	3227	3	18162
flaminhot_partner	1471037967926018051	5.630303	.000929	.000165	3	3227	3	18162
flats	45379403	5.618181	.000309	.000055	1	3227	1	18162
flightradar24	29447428	5.618181	.000309	.000055	1	3227	1	18162
flint	45379403	5.618181	.000309	.000055	1	3227	1	18162
flintwatercrisis	45379403	2.809090	.000309	.000110	1	3227	2	18162
flooding	29447428	1.404545	.000309	.000220	1	3227	4	18162
floods	45379403	1.023140	.000619	.000605	2	3227	11	18162
floods2022	2886667320	.468181	.000309	.000660	1	3227	12	18162
florida	45379403	.215932	.000309	.001431	1	3227	26	18162
flowers	302984766	1.404545	.000309	.000220	1	3227	4	18162
flstudio	1471037967926018051	5.618181	.000309	.000055	1	3227	1	18162
flutrucksclan	302984766	.561818	.000309	.000550	1	3227	10	18162
flutrucksklan	302984766	1.023140	.000619	.000605	2	3227	11	18162
flutruxklan	302984766	.381465	.001239	.003248	4	3227	59	18162
flutruxklangohome	118166719	.351136	.000309	.000880	1	3227	16	18162
fluzero	118166719	5.618181	.000309	.000055	1	3227	1	18162
flyeaglesfly	614600545	3.751515	.000619	.000165	2	3227	3	18162
focusedonsd	1308267623327518725	5.618181	.000309	.000055	1	3227	1	18162
focusonafrica	29447428	5.618181	.000309	.000055	1	3227	1	18162
food	614600545	.865734	.000619	.000715	2	3227	13	18162
foodforest	2886667320	5.627272	.000619	.000110	2	3227	2	18162
foodie	29447428	1.607792	.000619	.000385	2	3227	7	18162
foodies	29447428	3.751515	.000619	.000165	2	3227	3	18162
foodreview	614600545	5.618181	.000309	.000055	1	3227	1	18162
foodsecurity	2886667320	1.875757	.000619	.000330	2	3227	6	18162
ford	302984766	2.809090	.000309	.000110	1	3227	2	18162
fordfafovariant	302984766	5.618181	.000309	.000055	1	3227	1	18162
fordfailedkids	302984766	.702272	.000309	.000440	1	3227	8	18162
fordfailedontario	302984766	.535467	.000619	.001156	2	3227	21	18162
fordfailedthepeople	302984766	1.404545	.000309	.000220	1	3227	4	18162
fordnation	302984766	5.618181	.000309	.000055	1	3227	1	18162
fordshitshow	302984766	2.809090	.000309	.000110	1	3227	2	18162
forprofit	302984766	3.751515	.000619	.000165	2	3227	3	18162
forthe7generationstocome	302984766	5.618181	.000309	.000055	1	3227	1	18162
forthepeople	1921951394	1.123636	.000309	.000275	1	3227	5	18162
forvsliv	45379403	5.618181	.000309	.000055	1	3227	1	18162
fossilfuels	2886667320	.702272	.000309	.000440	1	3227	8	18162
fox13	29447428	2.809090	.000309	.000110	1	3227	2	18162
foxnews	940778288871542786	.803633	.000929	.001156	3	3227	21	18162
foxoftheday	29447428	5.618181	.000309	.000055	1	3227	1	18162
fr4052	29447428	5.627272	.000619	.000110	2	3227	2	18162
france	578601744	1.064801	.002169	.002037	7	3227	37	18162
frankjames	614600545	5.618181	.000309	.000055	1	3227	1	18162
fraud	1387010761994682371	1.535537	.000929	.000605	3	3227	11	18162
fravire	29447428	5.618181	.000309	.000055	1	3227	1	18162
freddiegibbs	1471037967926018051	5.618181	.000309	.000055	1	3227	1	18162
free	1387010761994682371	2.250909	.000619	.000275	2	3227	5	18162
freeahmedmanasra	1387010761994682371	2.809090	.000309	.000110	1	3227	2	18162
freedom	86010091	1.877575	.001549	.000825	5	3227	15	18162
freedomchain	86010091	5.618181	.000309	.000055	1	3227	1	18162
freedomconvoy	86010091	2.037895	.006507	.003193	21	3227	58	18162
freedomconvoy2022	86010091	2.680507	.009296	.003468	30	3227	63	18162
freedomconvoycanada	302984766	1.299300	.000929	.000715	3	3227	13	18162
freedomconvoycanada2022	86010091	2.166433	.001549	.000715	5	3227	13	18162
freedomfight	1387010761994682371	2.809090	.000309	.000110	1	3227	2	18162
freedomtruckers	86010091	1.872727	.000309	.000165	1	3227	3	18162
freedumbconvoy	302984766	.802597	.000309	.000385	1	3227	7	18162
freedumbery	2886667320	5.618181	.000309	.000055	1	3227	1	18162
freefall	45379403	5.618181	.000309	.000055	1	3227	1	18162
freeguy	1921951394	5.627272	.000619	.000110	2	3227	2	18162
freeiran	1308267623327518725	5.618181	.000309	.000055	1	3227	1	18162
freejulianrrrrrrange	45379403	.936363	.000309	.000330	1	3227	6	18162
freemasons	29447428	5.618181	.000309	.000055	1	3227	1	18162
freemelanieshaw	1387010761994682371	2.809090	.000309	.000110	1	3227	2	18162
freen95	2886667320	5.618181	.000309	.000055	1	3227	1	18162
freepalestine	1387010761994682371	.375050	.000929	.002477	3	3227	45	18162
freerats	2886667320	4.222727	.000929	.000220	3	3227	4	18162
freerkelly	1471037967926018051	5.618181	.000309	.000055	1	3227	1	18162
freerrrrrrange	45379403	3.218181	.001239	.000385	4	3227	7	18162
freerrrrrrangenow	45379403	.432167	.000309	.000715	1	3227	13	18162
freerussiafromputin	1921951394	2.809090	.000309	.000110	1	3227	2	18162
freesyria	578601744	2.809090	.000309	.000110	1	3227	2	18162
freetamara	86010091	4.097520	.002479	.000605	8	3227	11	18162
freetamaralich	86010091	1.406818	.000619	.000440	2	3227	8	18162
freethemall	2886667320	.200519	.000309	.001541	1	3227	28	18162
freetherefugees	2886667320	.510743	.000309	.000605	1	3227	11	18162
freetherespirators	118166719	5.618181	.000309	.000055	1	3227	1	18162
french	1387010761994682371	1.406818	.000619	.000440	2	3227	8	18162
frenchelections	45379403	5.618181	.000309	.000055	1	3227	1	18162
fresh	940778288871542786	.075846	.000309	.004074	1	3227	74	18162
freshair	1387010761994682371	2.809090	.000309	.000110	1	3227	2	18162
freshairclip	118166719	5.618181	.000309	.000055	1	3227	1	18162
friday	29447428	1.872727	.000309	.000165	1	3227	3	18162
fridayfeeling	29447428	1.872727	.000309	.000165	1	3227	3	18162
fridaymorning	302984766	5.618181	.000309	.000055	1	3227	1	18162
fridaymotivation	614600545	1.872727	.000309	.000165	1	3227	3	18162
fridayphoto	29447428	5.627272	.000619	.000110	2	3227	2	18162
fridaythoughts	302984766	1.872727	.000309	.000165	1	3227	3	18162
fringetheatre	45379403	5.618181	.000309	.000055	1	3227	1	18162
frontoffice33	614600545	5.618181	.000309	.000055	1	3227	1	18162
frontpage	86010091	5.618181	.000309	.000055	1	3227	1	18162
frydenberg	2886667320	5.618181	.000309	.000055	1	3227	1	18162
fsbletters	578601744	3.756060	.002479	.000660	8	3227	12	18162
ftse100	29447428	5.618181	.000309	.000055	1	3227	1	18162
fukushima	45379403	2.809090	.000309	.000110	1	3227	2	18162
fullhouse	1471037967926018051	5.618181	.000309	.000055	1	3227	1	18162
fullmoon	29447428	2.815151	.000929	.000330	3	3227	6	18162
fundthesepolice	45379403	5.618181	.000309	.000055	1	3227	1	18162
funk	45379403	5.627272	.000619	.000110	2	3227	2	18162
furhags	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
furywhyte	614600545	4.693939	.001549	.000330	5	3227	6	18162
fusionjazz	45379403	5.627272	.000619	.000110	2	3227	2	18162
futurefoodsxsw	302984766	2.809090	.000309	.000110	1	3227	2	18162
ga	940778288871542786	.105894	.000309	.002918	1	3227	53	18162
gaffe	2886667320	5.618181	.000309	.000055	1	3227	1	18162
galgadot	1308267623327518725	2.809090	.000309	.000110	1	3227	2	18162
gamesworkshop	45379403	5.618181	.000309	.000055	1	3227	1	18162
gapol	1308267623327518725	.295411	.000309	.001046	1	3227	19	18162
garden	29447428	2.809090	.000309	.000110	1	3227	2	18162
gas	1308267623327518725	.468181	.000309	.000660	1	3227	12	18162
gasen	1308267623327518725	.802597	.000309	.000385	1	3227	7	18162
gay	940778288871542786	1.123636	.000309	.000275	1	3227	5	18162
gaza	578601744	1.875882	.001859	.000991	6	3227	18	18162
gazaunderattack	45379403	.750303	.000619	.000825	2	3227	15	18162
gbnews	29447428	.802597	.000309	.000385	1	3227	7	18162
genderequalitymonth	302984766	5.618181	.000309	.000055	1	3227	1	18162
generalstrike	45379403	1.126060	.000929	.000825	3	3227	15	18162
generationaltrauma	86010091	5.618181	.000309	.000055	1	3227	1	18162
genocide	578601744	1.732354	.002479	.001431	8	3227	26	18162
genocidegames	1387010761994682371	1.872727	.000309	.000165	1	3227	3	18162
genocideofukrainians	45379403	.374545	.000309	.000825	1	3227	15	18162
georgefloyd	614600545	1.123636	.000309	.000275	1	3227	5	18162
georgia	1921951394	.295411	.000309	.001046	1	3227	19	18162
gergiev	45379403	5.618181	.000309	.000055	1	3227	1	18162
german	1308267623327518725	1.407575	.000929	.000660	3	3227	12	18162
germanembrrrrrryskopje	1308267623327518725	5.618181	.000309	.000055	1	3227	1	18162
germanshepherd	940778288871542786	.330128	.000309	.000936	1	3227	17	18162
germany	578601744	.625294	.001859	.002973	6	3227	54	18162
gerryharvey	2886667320	2.809090	.000309	.000110	1	3227	2	18162
getcenteneout	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
getreal	1387010761994682371	2.809090	.000309	.000110	1	3227	2	18162
getthefutureyouwant	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
getty	1921951394	3.754545	.001239	.000330	4	3227	6	18162
gft	940778288871542786	5.618181	.000309	.000055	1	3227	1	18162
ghostofkyiv	1921951394	1.607792	.000619	.000385	2	3227	7	18162
giants	614600545	5.618181	.000309	.000055	1	3227	1	18162
girlpower	1308267623327518725	1.404545	.000309	.000220	1	3227	4	18162
giveaway	1387010761994682371	1.689090	.000929	.000550	3	3227	10	18162
glasgow	1387010761994682371	.936363	.000309	.000330	1	3227	6	18162
globallandoutlook	2886667320	5.618181	.000309	.000055	1	3227	1	18162
glyphosate	1387010761994682371	2.809090	.000309	.000110	1	3227	2	18162
gmb	29447428	.244075	.000309	.001266	1	3227	23	18162
gmcambrrrrrrador	1471037967926018051	5.618181	.000309	.000055	1	3227	1	18162
gmchummerev	1471037967926018051	5.618181	.000309	.000055	1	3227	1	18162
gmo	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
gnn	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
goaaaaaayourself	1229752606714728454	5.627272	.000619	.000110	2	3227	2	18162
goaaaaaayourselfputin	1229752606714728454	2.809090	.000309	.000110	1	3227	2	18162
god	1387010761994682371	.802597	.000309	.000385	1	3227	7	18162
godmorningsaturday	1387010761994682371	2.809090	.000309	.000110	1	3227	2	18162
gofundme	45379403	1.875757	.000619	.000330	2	3227	6	18162
gohabsgo	302984766	2.412987	.000929	.000385	3	3227	7	18162
gohome	302984766	.561818	.000309	.000550	1	3227	10	18162
gold	29447428	.468181	.000309	.000660	1	3227	12	18162
goldengirls	940778288871542786	1.872727	.000309	.000165	1	3227	3	18162
goldiehawn	940778288871542786	5.627272	.000619	.000110	2	3227	2	18162
goodmorninggorgeous	614600545	5.618181	.000309	.000055	1	3227	1	18162
goodnews	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
gopbloodmoney	302984766	5.618181	.000309	.000055	1	3227	1	18162
gordianknot	578601744	5.618181	.000309	.000055	1	3227	1	18162
gottaloveher	1471037967926018051	5.618181	.000309	.000055	1	3227	1	18162
gourock	29447428	5.618181	.000309	.000055	1	3227	1	18162
gov	29447428	5.630303	.000929	.000165	3	3227	3	18162
govabbott	940778288871542786	5.618181	.000309	.000055	1	3227	1	18162
govegan	578601744	.086361	.000309	.003578	1	3227	65	18162
government	45379403	2.250909	.000619	.000275	2	3227	5	18162
governments	1387010761994682371	5.627272	.000619	.000110	2	3227	2	18162
gqparetraitors	940778288871542786	5.618181	.000309	.000055	1	3227	1	18162
grahamnorton	29447428	5.627272	.000619	.000110	2	3227	2	18162
grammys	1471037967926018051	.511677	.002169	.004239	7	3227	77	18162
grammys2022	29447428	2.813636	.000619	.000220	2	3227	4	18162
grandpasnarky	940778288871542786	5.618181	.000309	.000055	1	3227	1	18162
greenbay	614600545	5.618181	.000309	.000055	1	3227	1	18162
greenbelt	302984766	2.809090	.000309	.000110	1	3227	2	18162
gregabbottsstunt	302984766	5.618181	.000309	.000055	1	3227	1	18162
gregpearson	29447428	5.618181	.000309	.000055	1	3227	1	18162
grenfell	29447428	2.809090	.000309	.000110	1	3227	2	18162
grindadrap	29447428	5.618181	.000309	.000055	1	3227	1	18162
groomers	1387010761994682371	1.872727	.000309	.000165	1	3227	3	18162
gswvslal	614600545	5.630303	.000929	.000165	3	3227	3	18162
guinnesssixnations	29447428	5.627272	.000619	.000110	2	3227	2	18162
gutmicrobiome	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
guyguyguy	302984766	5.627272	.000619	.000110	2	3227	2	18162
gylesbrandreth	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
habs	302984766	5.634090	.002479	.000440	8	3227	8	18162
habsio	302984766	2.809090	.000309	.000110	1	3227	2	18162
habsnation	302984766	5.618181	.000309	.000055	1	3227	1	18162
hague	578601744	1.404545	.000309	.000220	1	3227	4	18162
haiti	578601744	1.023140	.000619	.000605	2	3227	11	18162
halleberrybetspotlight	614600545	2.809090	.000309	.000110	1	3227	2	18162
hamas	45379403	5.627272	.000619	.000110	2	3227	2	18162
hamburg	45379403	2.809090	.000309	.000110	1	3227	2	18162
hamont	118166719	4.222727	.000929	.000220	3	3227	4	18162
hananashrawi	1308267623327518725	5.618181	.000309	.000055	1	3227	1	18162
handfootandmouth	302984766	5.618181	.000309	.000055	1	3227	1	18162
handsoffhitler	578601744	5.618181	.000309	.000055	1	3227	1	18162
happy420	614600545	3.378181	.000929	.000275	3	3227	5	18162
happybirthday	29447428	1.404545	.000309	.000220	1	3227	4	18162
happybirthdayjon	29447428	5.618181	.000309	.000055	1	3227	1	18162
happyeaster	1308267623327518725	.624242	.000309	.000495	1	3227	9	18162
happynewyear	45379403	1.250252	.001239	.000991	4	3227	18	18162
happynewyear2022	45379403	1.607792	.000619	.000385	2	3227	7	18162
happyplace	29447428	1.872727	.000309	.000165	1	3227	3	18162
happysaturday	29447428	5.618181	.000309	.000055	1	3227	1	18162
happystdavidsday	29447428	5.618181	.000309	.000055	1	3227	1	18162
happytoshare	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
happytwosday	940778288871542786	5.618181	.000309	.000055	1	3227	1	18162
happyvalentinesday	1471037967926018051	2.809090	.000309	.000110	1	3227	2	18162
harper	302984766	5.618181	.000309	.000055	1	3227	1	18162
harryandmeghan	29447428	5.618181	.000309	.000055	1	3227	1	18162
harvard	578601744	2.813636	.000619	.000220	2	3227	4	18162
hate	1308267623327518725	1.875757	.000619	.000330	2	3227	6	18162
havemercy	1471037967926018051	5.618181	.000309	.000055	1	3227	1	18162
hayattahriralsham	578601744	5.618181	.000309	.000055	1	3227	1	18162
hazara	578601744	5.618181	.000309	.000055	1	3227	1	18162
hcasc	1921951394	5.618181	.000309	.000055	1	3227	1	18162
hcw	118166719	2.809090	.000309	.000110	1	3227	2	18162
health	45379403	.726260	.001239	.001706	4	3227	31	18162
healthcare	302984766	.387844	.000619	.001596	2	3227	29	18162
healthcarerounds	302984766	5.618181	.000309	.000055	1	3227	1	18162
healthcareworkers	45379403	1.875757	.000619	.000330	2	3227	6	18162
heart	1308267623327518725	2.809090	.000309	.000110	1	3227	2	18162
heartbreaker	1471037967926018051	3.751515	.000619	.000165	2	3227	3	18162
heartfailure	302984766	1.404545	.000309	.000220	1	3227	4	18162
heartfailureweekcan	302984766	5.618181	.000309	.000055	1	3227	1	18162
helium	1387010761994682371	5.200000	.003718	.000715	12	3227	13	18162
helpdemswin	940778288871542786	2.809090	.000309	.000110	1	3227	2	18162
helpukraine	1229752606714728454	.702272	.000309	.000440	1	3227	8	18162
helpusfindsera	940778288871542786	5.618181	.000309	.000055	1	3227	1	18162
